City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
441,Iguape,BR,76.21,moderate rain,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
444,Pisco,PE,75.99,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
448,Rio Grande,BR,78.8,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
449,Port Keats,AU,81.09,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
451,Sarangani,PH,82.13,overcast clouds,5.4033,125.4636,Ballistic Islet
452,Bandarbeyla,SO,76.08,few clouds,9.4942,50.8122,JABIR HOTEL
457,Lazaro Cardenas,MX,81.21,broken clouds,17.9583,-102.2,Collection O Hotel Quinta Antigua
466,Neiafu,TO,78.8,moderate rain,-18.65,-173.9833,Mystic Sands
469,Mount Isa,AU,75.2,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
471,Quelimane,MZ,80.6,light rain,-17.8786,36.8883,Hotel Flamingo
472,Norsup,VU,81.19,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
475,Mlonggo,ID,78.53,overcast clouds,-6.5333,110.7,Asia Metal Art
478,Nautla,MX,80.2,scattered clouds,20.2167,-96.7833,Casa Blanca
479,Taquari,BR,81.0,few clouds,-29.7997,-51.8644,Martins Hotel
481,Pimenta Bueno,BR,79.68,light rain,-11.6725,-61.1936,Cristalina Palace Hotel
489,Abonnema,NG,78.8,scattered clouds,4.7084,6.7931,Corper's Lodge Obonoma
490,Pitimbu,BR,77.0,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
492,The Valley,AI,78.8,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
500,Bolobo,CD,81.16,scattered clouds,-2.1667,16.2333,
504,Cap Malheureux,MU,79.0,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
509,Trinidad,BO,86.0,broken clouds,-14.8333,-64.9,Hotel Piesta
510,Mbumi,TZ,76.53,overcast clouds,-7.9058,39.2105,
513,Antalaha,MG,76.91,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
515,Tecpan,GT,80.6,few clouds,14.7623,-90.9947,San Ricardo Restaurante y Hotel
516,Bengkulu,ID,76.77,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
520,Carlsbad,US,75.2,clear sky,33.1581,-117.3506,Carlsbad Inn Beach Resort
521,San Luis,AR,88.9,scattered clouds,-33.295,-66.3356,Huarpes Hotel
525,Denpasar,ID,75.2,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
526,Acari,PE,80.2,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
527,Altamira,BR,82.4,scattered clouds,-3.2033,-52.2064,Requinte Hotel
540,Sokolo,ML,76.95,clear sky,14.7328,-6.1219,
546,Black River,JM,84.0,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
547,Cukai,MY,75.2,broken clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
549,Gogrial,SS,79.57,clear sky,8.5332,28.1004,
552,Cantapoy,PH,77.07,overcast clouds,9.4906,125.4364,Brgy Pili Mountain View
557,Marsh Harbour,BS,76.59,clear sky,26.5412,-77.0636,Abaco Beach Resort
558,Bayeux,BR,77.0,broken clouds,-7.125,-34.9322,Infinity Motel
561,La Asuncion,VE,76.93,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
567,Nioro,GM,77.4,clear sky,13.35,-15.75,
568,Moussoro,TD,80.19,clear sky,13.6408,16.4901,Pharmacie alnadja Moussoro
571,Sassandra,CI,78.4,overcast clouds,4.95,-6.0833,la terrasse
574,Pundaguitan,PH,80.92,scattered clouds,6.3711,126.1689,Leonardo Family Beach House 1
576,Mitsamiouli,KM,81.27,few clouds,-11.3847,43.2844,Foyer ADM
580,Sitangkai,PH,82.27,clear sky,4.6628,119.3928,
584,Amarante Do Maranhao,BR,78.49,light rain,-5.5667,-46.7422,Hotéis Caçulinha
589,Tallahassee,US,79.0,broken clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
590,Dicabisagan,PH,76.3,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
593,Majene,ID,77.04,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
598,Ambon,ID,78.8,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
599,Vangaindrano,MG,77.5,light rain,-23.35,47.6,Hotel Fanilo
600,Banda Aceh,ID,76.55,clear sky,5.5577,95.3222,Sulthan Hotel International
603,Mamou,GN,80.26,overcast clouds,10.5,-12.0,
605,Vallenar,CL,82.0,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
607,Manokwari,ID,78.13,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
611,Malakal,SS,83.19,clear sky,9.5334,31.6605,Nile Palace Hotel
612,Belmonte,BR,78.8,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
615,Vicuna,CL,82.99,clear sky,-30.0319,-70.7081,Los Mosaicos
617,Mattru,SL,78.94,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
620,Hualmay,PE,77.11,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
636,Madison,US,75.99,overcast clouds,34.7334,-86.5667,Embassy Suites by Hilton Huntsville Hotel & Spa
641,Pointe-Noire,CG,82.4,scattered clouds,-4.7761,11.8635,Kactus Lodge
642,Namatanai,PG,79.56,overcast clouds,-3.6667,152.4333,Namatanai Hotel
