City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
293,Leh,IN,34.1667,77.5833,7.39,70,0,0.78,clear sky
294,Vao,NC,-22.6667,167.4833,77.9,71,9,10.31,clear sky
295,Douentza,ML,14.9951,-2.9517,75.15,13,44,2.51,scattered clouds
296,Hofn,IS,64.2539,-15.2082,40.01,71,100,20.29,overcast clouds
297,San Policarpo,PH,12.1791,125.5072,79.74,77,100,6.4,overcast clouds
298,Kindu,CD,-2.95,25.95,75.38,76,100,2.55,overcast clouds
299,Tiarei,PF,-17.5333,-149.3333,82.4,78,75,11.5,broken clouds
300,Nohar,IN,29.1833,74.7667,64.36,27,0,9.06,clear sky
301,Westport,US,41.1415,-73.3579,39.2,87,90,4.61,light rain
302,Brae,GB,60.3964,-1.353,44.6,93,90,19.57,overcast clouds
303,Pimentel,PE,-6.8367,-79.9342,84.2,48,0,16.11,clear sky
304,Coquimbo,CL,-29.9533,-71.3436,66.2,72,20,12.66,few clouds
305,Bosaso,SO,11.2842,49.1816,76.33,77,1,3.71,clear sky
306,Aswan,EG,24.0934,32.907,59.9,31,0,11.16,clear sky
307,Dunedin,NZ,-45.8742,170.5036,61.0,91,96,11.99,overcast clouds
308,Taoudenni,ML,22.6783,-3.9836,70.23,19,0,5.55,clear sky
309,Xichang,CN,27.8964,102.2634,59.0,31,88,3.38,overcast clouds
310,Opuwo,NA,-18.0607,13.84,75.42,44,80,7.9,broken clouds
311,Boca Do Acre,BR,-8.7522,-67.3978,79.92,91,100,2.73,overcast clouds
312,Fort Madison,US,40.6298,-91.3151,44.6,81,40,24.16,scattered clouds
313,Kaufbeuren,DE,47.8833,10.6167,34.0,69,0,8.05,clear sky
314,Preston,GB,53.7667,-2.7167,42.8,81,0,8.05,clear sky
315,Labuhan,ID,-6.8844,112.2051,77.77,83,68,4.09,broken clouds
316,Nogales,MX,31.3086,-110.9422,55.99,8,1,17.27,clear sky
317,Nantucket,US,41.2835,-70.0995,41.0,93,1,9.22,clear sky
318,La Rochelle,FR,46.1667,-1.15,46.4,76,0,12.66,clear sky
319,Zhenjiang,CN,32.2092,119.4342,53.01,98,100,3.31,overcast clouds
320,Peremyshlyany,UA,49.6652,24.5585,37.4,87,75,11.18,broken clouds
321,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,23.0,58,9,13.42,clear sky
322,Broome,US,42.2506,-75.833,41.0,87,90,20.71,overcast clouds
323,Inta,RU,66.0317,60.1659,4.03,93,98,11.5,overcast clouds
324,Berlevag,NO,70.8578,29.0864,35.6,87,40,29.93,scattered clouds
325,Paramonga,PE,-10.6667,-77.8333,77.43,58,8,7.96,clear sky
326,Toora-Khem,RU,52.4675,96.11,-8.84,85,98,2.46,overcast clouds
327,Leshukonskoye,RU,64.8989,45.7622,23.9,93,99,9.06,overcast clouds
328,Urusha,RU,54.05,122.9,-20.09,81,99,2.42,overcast clouds
329,Gamba,GA,-2.65,10.0,80.02,87,99,9.91,light rain
330,Kungurtug,RU,50.5994,97.5228,-11.45,78,33,2.26,scattered clouds
331,Guarapari,BR,-20.6667,-40.4975,84.0,83,40,2.3,scattered clouds
332,Ibra,OM,22.6906,58.5334,60.42,83,0,2.24,clear sky
333,Abha,SA,18.2164,42.5053,59.0,88,0,12.66,clear sky
334,Bonavista,CA,48.6499,-53.1147,30.99,100,100,6.91,snow
335,Paamiut,GL,61.994,-49.6678,15.55,94,100,20.62,light snow
336,Olafsvik,IS,64.8945,-23.7142,38.46,75,91,25.86,overcast clouds
337,Anaconda,US,46.1285,-112.9423,30.2,47,90,9.22,overcast clouds
338,Niihama,JP,33.9593,133.3167,48.2,81,20,2.3,few clouds
339,Kudahuvadhoo,MV,2.6708,72.8944,81.41,64,98,3.96,overcast clouds
340,Mundo Nuevo,MX,18.7,-95.5,79.18,81,30,7.63,scattered clouds
341,Shubarshi,KZ,48.5872,57.1869,7.65,93,14,8.75,few clouds
342,West Plains,US,36.7281,-91.8524,61.0,88,90,5.75,light rain
343,Arawa,PG,-6.2132,155.5367,77.18,75,100,3.38,overcast clouds
344,Fuyu,CN,45.1833,124.8167,0.36,88,100,7.31,overcast clouds
345,Elliot Lake,CA,46.3834,-82.6331,37.4,81,90,11.5,overcast clouds
